distname,fid_hex,area_sqkm
Sambhal,"143","332"
Budaun,"143","86"
Kanshiram Nagar,"144","62"
Aligarh,"144","108"
Sambhal,"144","128"
Budaun,"144","122"
Kanshiram Nagar,"145","312"
Etah,"145","16"
Mahamaya Nagar,"145","1"
Aligarh,"145","92"
Ballia,"146","2"
Kanshiram Nagar,"147","8"
Etah,"147","358"
Mahamaya Nagar,"147","57"
Ballia,"148","161"
Firozabad,"149","215"
Etah,"149","210"
Firozabad,"150","426"
Bijnor,"151","0"
Bijnor,"152","173"
Bijnor,"153","409"
Moradabad,"154","9"
Bijnor,"154","401"
Jyotiba Phule Nagar,"155","101"
Moradabad,"155","223"
Bijnor,"155","89"
Jyotiba Phule Nagar,"156","249"
Moradabad,"156","59"
Sambhal,"156","106"
Jhansi,"157","309"
Jhansi,"158","80"
Lalitpur,"158","128"
Lalitpur,"159","407"
Lalitpur,"160","445"
Lalitpur,"161","446"
Lalitpur,"162","189"
Firozabad,"163","25"
Agra,"163","397"
Agra,"164","37"
Jhansi,"165","86"
Kushinagar,"166","91"
Jyotiba Phule Nagar,"167","299"
Sambhal,"167","117"
Jyotiba Phule Nagar,"168","7"
Bulandshahr,"168","44"
Sambhal,"168","367"
Aligarh,"169","60"
Bulandshahr,"169","205"
Sambhal,"169","153"
Ballia,"170","2"
Ballia,"171","377"
Aligarh,"172","421"
Kanshiram Nagar,"173","10"
Mahamaya Nagar,"173","218"
Aligarh,"173","194"
Ballia,"174","68"
Etah,"175","266"
Mahamaya Nagar,"175","158"
Firozabad,"176","187"
Agra,"176","20"
Etah,"176","218"
Firozabad,"177","396"
Agra,"177","31"
Bijnor,"178","302"
Bijnor,"179","408"
Bijnor,"180","410"
Jyotiba Phule Nagar,"181","5"
Bijnor,"181","406"
Jyotiba Phule Nagar,"182","411"
Bijnor,"182","3"
Jyotiba Phule Nagar,"183","327"
Sambhal,"183","88"
Lalitpur,"184","165"
Lalitpur,"185","49"
Lalitpur,"186","29"
Allahabad,"187","181"
Pratapgarh,"187","257"
Allahabad,"188","439"
Allahabad,"189","440"
Allahabad,"190","442"
Allahabad,"191","185"
Gonda,"192","182"
Bahraich,"192","243"
Gonda,"193","427"
Gonda,"194","428"
Gonda,"195","68"
Faizabad,"195","361"
Sultanpur,"196","21"
Faizabad,"196","304"
Amethi,"196","106"
Sultanpur,"197","206"
Amethi,"197","227"
Sultanpur,"198","20"
Pratapgarh,"198","16"
Amethi,"198","399"
Pratapgarh,"199","430"
Amethi,"199","5"
Shrawasti,"200","65"
Shrawasti,"201","422"
Bahraich,"202","132"
Shrawasti,"202","292"
Allahabad,"203","265"
Kaushambi,"203","174"
Chitrakoot,"204","0"
Allahabad,"204","438"
Allahabad,"205","187"
Gonda,"206","385"
Bahraich,"206","3"
Bara Banki,"206","40"
Gonda,"207","40"
Bara Banki,"207","211"
Faizabad,"207","178"
Bara Banki,"208","6"
Faizabad,"208","346"
Amethi,"208","79"
Faizabad,"209","18"
Amethi,"209","414"
Pratapgarh,"210","5"
Rae Bareli,"210","16"
Amethi,"210","413"
Pratapgarh,"211","329"
Amethi,"211","106"
Pratapgarh,"212","437"
Allahabad,"213","206"
Kaushambi,"213","20"
Pratapgarh,"213","213"
Bahraich,"214","60"
Bahraich,"215","154"
Shrawasti,"215","267"
Bahraich,"216","190"
Shrawasti,"216","233"
Bahraich,"217","420"
Shrawasti,"217","4"
Gonda,"218","208"
Bahraich,"218","218"
Mirzapur,"219","9"
Sultanpur,"220","434"
Pratapgarh,"220","1"
Sultanpur,"221","24"
Jaunpur,"221","53"
Pratapgarh,"221","359"
Jaunpur,"222","392"
Pratapgarh,"222","46"
Sant Ravidas Nagar (Bhadohi),"223","41"
Jaunpur,"223","188"
Allahabad,"223","209"
Sant Ravidas Nagar (Bhadohi),"224","140"
Allahabad,"224","280"
Mirzapur,"224","20"
Sant Ravidas Nagar (Bhadohi),"225","47"
Allahabad,"225","225"
Mirzapur,"225","170"
Allahabad,"226","131"
Mirzapur,"226","312"
Mirzapur,"227","300"
Shrawasti,"228","11"
Balrampur,"228","289"
Balrampur,"229","424"
Gonda,"230","58"
Balrampur,"230","367"
Gonda,"231","229"
Balrampur,"231","198"
Gonda,"232","304"
Basti,"232","125"
Gonda,"233","21"
Basti,"233","201"
Faizabad,"233","209"
Faizabad,"234","352"
Ambedkar Nagar,"234","79"
Sultanpur,"235","326"
Faizabad,"235","32"
Ambedkar Nagar,"235","76"
Jaunpur,"236","2"
Pratapgarh,"236","435"
Jaunpur,"237","50"
Allahabad,"237","279"
Pratapgarh,"237","109"
Allahabad,"238","439"
Sant Ravidas Nagar (Bhadohi),"239","0"
Allahabad,"239","441"
Allahabad,"240","442"
Allahabad,"241","177"
Mirzapur,"241","86"
Gonda,"242","80"
Bahraich,"242","21"
Shrawasti,"242","103"
Balrampur,"242","220"
Gonda,"243","426"
Balrampur,"243","0"
Gonda,"244","428"
