distname,fid_hex,area_sqkm
Bareilly,"586","418"
Jalaun,"587","434"
Jalaun,"588","435"
Jhansi,"589","48"
Jalaun,"589","356"
Hamirpur,"589","32"
Jhansi,"590","291"
Hamirpur,"590","147"
Mahoba,"591","221"
Jhansi,"591","207"
Hamirpur,"591","11"
Mahoba,"592","141"
Jhansi,"592","81"
Mahoba,"593","12"
Jhansi,"593","6"
Pilibhit,"594","415"
Shahjahanpur,"595","4"
Pilibhit,"595","413"
Shahjahanpur,"596","411"
Pilibhit,"596","7"
Kheri,"597","82"
Shahjahanpur,"597","338"
Hardoi,"598","26"
Kheri,"598","354"
Shahjahanpur,"598","41"
Hardoi,"599","422"
Kheri,"599","0"
Shahjahanpur,"599","1"
Hardoi,"600","425"
Hardoi,"601","426"
Pilibhit,"602","107"
Mahoba,"603","402"
Mahoba,"604","50"
Hardoi,"605","49"
Kannauj,"605","301"
Kanpur Nagar,"605","79"
Kanpur Dehat,"606","226"
Kannauj,"606","30"
Kanpur Nagar,"606","174"
Kanpur Dehat,"607","431"
Kanpur Nagar,"607","1"
Kanpur Dehat,"608","433"
Kanpur Dehat,"609","250"
Jalaun,"609","43"
Kanpur Nagar,"609","97"
Hamirpur,"609","44"
Jalaun,"610","113"
Hamirpur,"610","323"
Hamirpur,"611","437"
Mahoba,"612","309"
Hamirpur,"612","129"
Pilibhit,"613","416"
Shahjahanpur,"614","87"
Pilibhit,"614","331"
Shahjahanpur,"615","298"
Pilibhit,"615","122"
Kheri,"616","4"
Shahjahanpur,"616","417"
Hardoi,"617","108"
Shahjahanpur,"617","314"
Hardoi,"618","424"
Hardoi,"619","425"
Hardoi,"620","318"
Kannauj,"620","109"
Pilibhit,"621","253"
Mahoba,"622","25"
Kanpur Dehat,"623","328"
Auraiya,"623","102"
Kanpur Dehat,"624","432"
Kanpur Dehat,"625","374"
Jalaun,"625","59"
Kanpur Dehat,"626","31"
Jalaun,"626","404"
Jalaun,"627","47"
Hamirpur,"627","389"
Mahoba,"628","22"
Hamirpur,"628","416"
Mahoba,"629","433"
Hamirpur,"629","6"
Mahoba,"630","439"
Azamgarh,"631","1"
Ghazipur,"631","412"
Mau,"631","24"
Mathura,"632","198"
Chandauli,"633","33"
Ghazipur,"633","405"
Chandauli,"634","382"
Ghazipur,"634","32"
Agra,"635","1"
Chandauli,"636","57"
Agra,"637","93"
Chandauli,"638","54"
Agra,"639","2"
Chandauli,"640","30"
Sonbhadra,"640","245"
Sonbhadra,"641","288"
Sonbhadra,"642","171"
Mahrajganj,"643","362"
Gorakhpur,"644","10"
Mahrajganj,"644","416"
Meerut,"645","101"
Baghpat,"645","311"
Ghaziabad,"646","218"
Meerut,"646","8"
Baghpat,"646","188"
Gorakhpur,"647","218"
Mahrajganj,"647","211"
Ghaziabad,"648","230"
Hapur,"648","0"
Gautam Buddha Nagar,"648","149"
Gorakhpur,"649","430"
Gautam Buddha Nagar,"650","183"
Gorakhpur,"651","420"
Deoria,"651","12"
Gautam Buddha Nagar,"652","17"
Gorakhpur,"653","334"
Azamgarh,"653","71"
Deoria,"653","25"
Mau,"653","3"
Gautam Buddha Nagar,"654","9"
Aligarh,"654","19"
Azamgarh,"655","245"
Mau,"655","189"
Mathura,"656","249"
Azamgarh,"657","46"
Ghazipur,"657","2"
Mau,"657","388"
Mathura,"658","363"
Saharanpur,"659","67"
Saharanpur,"660","372"
Saharanpur,"661","406"
Muzaffarnagar,"662","21"
Saharanpur,"662","138"
Samli,"662","248"
Muzaffarnagar,"663","143"
Samli,"663","267"
Mahrajganj,"664","28"
Muzaffarnagar,"665","180"
Samli,"665","29"
Meerut,"665","6"
Baghpat,"665","196"
Varanasi,"666","56"
Chandauli,"666","318"
Ghazipur,"666","66"
Chandauli,"667","435"
Mirzapur,"667","6"
Chandauli,"668","419"
Mirzapur,"668","0"
Chandauli,"669","440"
Sonbhadra,"669","4"
